SSDSE-A-2026,Prefecture,Municipality,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A1419,A141901,A141902,A1700,A4101,A4200,A5101,A5102,A7101,A710101,A710201,A810102,A810105,A811102,A8201,A8301,A9101,A9201,B1101,B1103,C2108,C210832,C210833,C210835,C210836,C210837,C210838,C210839,C210840,C210841,C210844,C210845,C210846,C210847,C210848,C210849,C210850,C210851,C210852,C2208,C220832,C220833,C220835,C220836,C220837,C220838,C220839,C220840,C220841,C220844,C220845,C220846,C220847,C220848,C220849,C220850,C220851,C220852,C310201,C310202,D1202,D2203,D2211,D3201,D320101,D3203,D320303,D320308,D320310,D320311,E1101,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3901,E3904,E3905,E3906,E4101,E4501,F1102,F110201,F110202,F1107,F110701,F110702,F1108,F110801,F110802,F2201,F2211,F2221,G1201,G1401,H5507,H550701,H6130,H6131,H6132,I510120,I5102,I5103,I6100,I6200,I6300,J250302
R04301,ã{èÈåß,ë†â§í¨,11418,5569,5849,11342,5524,5818,1169,590,579,5864,3012,2852,4367,1957,2410,2253,860,1393,67,28,210,253,273,3924,3909,11102,2008,913,1219,553,505,26,14,15283,6765,590,20,3,2,92,61,0,0,17,133,7,27,7,91,47,8,29,4,40,5058,141,3,37,679,1624,0,0,174,686,51,140,15,627,145,15,422,32,265,523,313,127,93.4,4.0,7891825,1662012,7686286,1745806,545897,1215772,429630,2,106,5,74,463,3,43,242,0,0,0,0,1,113,5737,3181,2556,230,146,84,3793,1393,2400,772,1722,3169,6,1,10996,2459,106,48,1,1,7,3,8,5,15,1
R04302,ã{èÈåß,éµÉñèhí¨,1262,620,642,1235,609,626,90,48,42,589,326,263,583,246,337,370,137,233,27,3,31,46,24,524,521,1190,236,190,169,69,107,3,3,26309,3124,90,7,0,0,13,7,0,0,6,21,1,1,3,11,7,2,3,3,5,546,43,0,0,59,131,0,0,22,107,3,8,5,43,13,25,53,9,25,59,74,48,85.4,7.0,2837326,524641,2722309,336198,235825,228396,6592,0,0,1,11,45,1,12,24,0,0,0,0,2,62,613,373,240,15,11,4,543,187,356,130,130,353,9,0,1234,82,19,8,0,0,3,0,1,0,1,1
R04321,ã{èÈåß,ëÂâÕå¥í¨,23571,11530,12041,23293,11368,11925,3029,1545,1484,13789,6928,6861,6520,2907,3613,3268,1348,1920,125,116,275,901,941,9524,9510,23254,5368,3043,2217,1052,1000,87,43,2499,1784,1114,10,0,0,92,59,0,6,20,322,28,79,48,104,127,46,92,5,76,9384,96,0,0,679,1136,0,12,238,2703,325,190,138,819,515,290,1201,174,868,178,137,164,96.0,1.8,11474082,3075852,11079025,3192022,881435,1389100,115110,1,86,3,91,1235,2,63,686,0,0,0,0,3,655,11052,6034,5018,587,371,216,7388,2726,4662,294,3509,7191,2,0,23391,746,262,89,4,1,18,15,126,20,90,5
R04322,ã{èÈåß,ë∫ìcí¨,10666,5293,5373,10568,5253,5315,1080,538,542,5749,3025,2724,3784,1709,2075,1886,739,1147,54,38,160,224,315,3770,3764,10419,1969,915,1100,463,403,21,16,7838,3688,446,7,0,0,74,42,0,1,23,114,5,9,8,39,40,6,28,4,46,4343,32,0,0,468,1639,0,1,443,569,29,38,25,249,222,7,357,31,233,481,283,106,91.8,11.3,6314215,1402026,6051023,1374610,771158,573539,154750,1,58,2,43,400,2,35,231,0,0,0,0,1,175,5234,3017,2217,319,227,92,3737,1346,2391,360,1795,3046,7,0,10068,1965,88,27,1,0,9,4,7,5,8,1
R04323,ã{èÈåß,éƒìcí¨,38271,19342,18929,37726,19063,18663,4368,2229,2139,22274,11711,10563,11032,5029,6003,5042,2174,2868,140,182,459,1356,1542,15546,15504,37400,8599,5014,4041,1937,1398,94,60,5403,3516,1072,8,0,1,117,71,1,0,28,247,15,69,36,103,132,44,113,7,80,12399,97,0,7,759,4167,4,0,488,2574,131,156,412,652,584,364,1229,171,604,296,238,210,93.6,4.7,16235691,4519613,15826078,4933918,1467652,2060562,114800,4,356,6,133,1672,3,74,866,0,0,0,0,1,418,18135,10335,7800,1136,749,387,13801,5535,8266,405,5885,11697,6,1,36863,2120,205,84,9,1,21,13,32,25,51,5
R04324,ã{èÈåß,êÏçËí¨,8345,4100,4245,8205,4077,4128,731,394,337,4381,2223,2158,3210,1467,1743,1559,602,957,127,24,164,142,197,2967,2958,8107,1564,682,972,418,336,7,12,27077,6352,397,12,2,1,71,40,1,0,8,95,5,11,8,36,38,6,22,6,35,3105,167,9,5,444,799,3,0,94,386,25,35,9,208,246,10,483,45,137,403,229,86,89.1,4.5,5815164,936248,5432905,1314937,584702,529223,84851,1,0,3,42,274,2,31,165,0,0,0,0,1,52,4393,2431,1962,235,170,65,2778,999,1779,421,1426,2515,8,0,8137,952,84,22,0,2,3,2,14,5,6,0
R04341,ã{èÈåß,ä€êXí¨,12262,6117,6145,12117,6038,6079,1061,555,506,5889,3150,2739,5293,2400,2893,2882,1134,1748,133,26,266,160,257,4426,4419,11969,2340,1050,1567,685,678,24,13,27330,8152,491,12,1,2,92,69,4,0,12,123,1,6,7,37,38,7,27,11,42,3727,113,10,17,594,1239,4,0,72,687,17,14,12,125,65,60,495,65,138,682,492,159,87.6,8.2,20151295,1439062,17869562,2260777,4162364,579750,5742290,0,0,3,46,447,1,24,248,0,0,0,0,1,144,5734,3347,2387,238,183,55,4609,1702,2907,696,2093,2655,0,1,11972,3697,109,28,1,1,4,5,8,5,14,2
R04361,ã{èÈåß,òjóùí¨,33087,16212,16875,32779,16045,16734,3790,1903,1887,18734,9465,9269,10389,4724,5665,4888,2025,2863,155,152,437,871,874,12181,12166,32713,7424,2701,3568,1667,1222,81,56,7360,6203,988,8,2,5,118,109,1,8,35,231,11,57,32,72,100,23,95,9,72,9676,203,13,47,926,2862,3,18,633,1970,102,134,170,542,281,88,1120,65,499,712,254,226,92.6,5.4,16196880,3957171,15395664,4970452,1907251,1404227,35483,2,109,6,124,1518,4,81,831,0,0,0,0,1,317,15987,8914,7073,853,555,298,10852,3947,6905,1115,4874,9638,4,1,32926,0,188,54,3,0,23,10,24,14,28,7
R04362,ã{èÈåß,éRå≥í¨,12046,5978,6068,11977,5943,6034,1074,565,509,6013,3131,2882,4943,2272,2671,2536,1067,1469,58,44,210,289,268,4541,4533,11670,2428,1201,1541,741,716,20,22,6458,4467,409,13,0,1,53,50,0,0,9,97,2,15,8,29,37,7,38,6,44,4024,307,0,2,370,1167,0,0,71,591,17,57,60,171,67,30,842,36,236,320,193,136,89.8,6.5,12381836,1369595,11710100,2167464,2696998,1042982,355025,2,129,4,56,474,1,21,219,0,0,0,0,0,0,5531,3135,2396,332,240,92,4777,1863,2914,673,1659,3072,2,0,11516,1670,74,18,1,1,5,2,18,5,16,1
R04401,ã{èÈåß,èºìáí¨,13323,6414,6909,13257,6384,6873,1221,652,569,6881,3509,3372,5215,2247,2968,2826,1090,1736,63,47,258,318,320,5017,5003,13034,2833,1223,1711,736,695,34,11,5356,2588,520,5,0,0,60,27,2,1,14,146,3,37,6,87,48,10,36,9,29,4009,79,0,0,325,186,8,1,158,773,55,73,14,1204,224,59,630,43,177,192,87,119,95.7,6.8,7976066,1841420,7513178,2164632,592503,624369,886117,2,46,3,50,497,1,23,246,0,0,0,0,1,455,6182,3448,2734,413,286,127,5261,1905,3356,328,1234,4565,1,0,13124,1374,129,66,1,1,5,4,13,7,17,1
R04404,ã{èÈåß,éµÉñïlí¨,18132,9024,9108,18014,8962,9052,1948,1025,923,10511,5380,5131,5644,2603,3041,2655,1092,1563,98,75,256,438,542,6462,6454,17999,4042,1215,1996,907,594,39,24,1319,1125,445,2,1,0,86,23,2,1,27,81,4,34,15,27,47,17,36,5,37,2645,31,17,0,524,192,6,1,315,476,29,47,41,98,126,92,382,26,242,18,47,122,91.3,1.1,8336709,2057929,7701317,2523826,881119,969208,313200,2,66,3,69,754,2,39,415,0,0,0,0,0,0,8608,4953,3655,613,425,188,6324,2262,4062,267,2202,6115,2,0,17800,295,61,16,1,0,7,4,4,7,4,2
R04406,ã{èÈåß,óòï{í¨,35182,17162,18020,34963,17061,17902,5045,2582,2463,21264,10504,10760,8649,3956,4693,3812,1527,2285,120,218,335,1364,1263,12538,12526,34663,8714,2216,3197,1599,807,103,34,4489,2348,1150,0,0,2,185,89,0,3,29,337,12,42,24,124,112,32,89,6,64,13147,0,0,17,1240,2277,0,9,853,3425,97,162,171,1306,861,224,1716,47,742,195,106,191,88.7,6.3,13764219,5136319,13142172,4983858,1054506,1523093,283550,3,389,6,146,2051,3,78,1089,0,0,0,0,1,782,16968,9429,7539,712,447,265,10386,3613,6773,310,3839,12675,1,1,35804,1163,279,94,9,2,22,12,44,20,58,8
R04421,ã{èÈåß,ëÂòaí¨,28786,14979,13807,28062,14607,13455,4115,2105,2010,17601,9525,8076,6502,2977,3525,3215,1254,1961,374,196,288,1321,1323,11441,11398,27880,5689,4148,1815,803,676,115,44,22549,6540,1148,24,0,3,128,109,2,5,62,261,8,87,32,116,103,23,83,8,94,18344,277,0,45,1036,6624,74,13,1601,3039,69,236,142,654,528,508,2169,92,1237,443,136,170,85.3,1.8,14266665,7163871,13267054,4323812,1743747,1861158,216606,1,70,6,132,1605,2,56,867,0,0,0,0,1,415,14510,8576,5934,648,412,236,7478,2635,4843,630,4806,8764,42,0,28022,2505,185,90,6,1,19,10,32,13,54,2
R04422,ã{èÈåß,ëÂãΩí¨,7813,3814,3999,7731,3767,3964,863,466,397,3926,2005,1921,3017,1339,1678,1504,568,936,79,30,161,152,170,2483,2478,7571,1229,491,751,283,293,12,5,8201,4544,352,14,0,2,61,55,0,0,9,64,0,9,2,23,29,4,27,3,50,3748,169,0,15,413,1300,0,0,111,513,0,29,3,161,259,48,404,34,289,450,189,87,80.7,8.3,6256343,1594385,5449017,1217664,623149,550223,205947,0,0,1,21,348,1,19,190,0,0,0,0,0,0,3765,2148,1617,236,149,87,2756,954,1802,442,1050,2238,23,0,7615,1613,48,18,0,0,3,2,2,2,3,0
R04424,ã{èÈåß,ëÂçtë∫,5849,2938,2911,5790,2897,2893,871,469,402,3263,1705,1558,1709,758,951,830,321,509,58,25,81,184,162,1877,1875,5720,1001,415,418,168,159,11,6,6032,3210,296,6,0,0,42,56,0,0,44,47,1,12,1,21,9,6,15,3,33,8505,85,0,0,511,4857,0,0,1117,584,1,63,5,163,69,61,243,17,729,307,70,74,93.9,5.9,5142041,1715092,4945359,1050660,731237,663390,175304,0,0,1,25,386,1,18,163,0,0,0,0,0,0,2898,1702,1196,104,62,42,1569,485,1084,293,916,1530,1,0,5587,567,23,14,0,0,4,1,1,4,2,1
R04444,ã{èÈåß,êFñÉí¨,6698,3246,3452,6660,3239,3421,783,395,388,3560,1828,1732,2343,1015,1328,1160,411,749,34,28,114,122,212,1965,1960,6436,915,324,508,191,154,9,8,10928,4666,229,18,0,0,43,27,0,0,14,52,0,1,3,20,10,1,17,6,17,2231,407,0,0,276,429,0,0,167,202,0,1,5,89,17,3,167,336,132,299,99,71,84.5,9.9,4870987,734970,4748118,1026972,469966,510862,10966,0,0,0,0,0,0,0,0,1,44,274,158,1,140,3528,1989,1539,104,61,43,2106,709,1397,658,1167,1656,1,0,6223,1381,47,13,0,1,2,1,6,2,9,2
R04445,ã{èÈåß,â¡î¸í¨,21943,10767,11176,21767,10684,11083,2327,1175,1152,11468,6003,5465,8137,3582,4555,4145,1558,2587,162,86,378,416,551,7641,7631,21715,3702,1778,2209,962,942,56,22,46067,13181,1097,42,1,1,170,98,1,3,36,286,11,22,25,93,119,33,69,9,78,9074,348,5,7,1123,3003,4,4,354,1610,140,82,87,420,529,116,738,83,421,595,559,174,89.4,7.3,15005437,2652423,14068369,3895119,1554311,1979183,284900,1,107,8,118,887,2,47,518,0,0,0,0,1,235,11911,6761,5150,404,268,136,7252,2537,4715,1683,4149,6064,9,2,21527,5909,258,72,3,0,22,8,16,9,19,1
R04501,ã{èÈåß,óOíJí¨,15388,7520,7868,15305,7484,7821,1471,737,734,8091,4225,3866,5796,2540,3256,2856,1067,1789,57,50,275,257,404,5452,5430,14928,2907,1276,1704,710,716,35,19,8216,5952,549,26,0,0,76,47,0,0,9,141,5,19,15,54,60,12,35,6,44,5308,286,0,0,540,1488,0,0,188,1098,59,81,221,249,247,59,544,44,204,718,225,116,81.9,6.6,8458515,1623582,8172311,2320948,722791,862860,101175,4,116,3,51,553,1,25,307,0,0,0,0,1,148,7735,4402,3333,367,243,124,5567,2003,3564,1084,2392,4207,2,0,14676,3438,124,41,2,2,6,7,18,11,22,3
R04505,ã{èÈåß,î¸ó¢í¨,23994,11616,12378,23912,11585,12327,2628,1347,1281,12743,6542,6201,8547,3669,4878,4340,1639,2701,64,91,395,650,685,8565,8532,23362,4814,1942,2578,1141,1000,57,25,7499,7485,841,22,0,0,94,74,1,3,27,187,7,28,27,80,97,34,84,11,65,7227,487,0,0,651,1415,3,3,563,1613,83,68,103,354,283,77,933,198,393,460,281,137,89.9,7.1,11856124,2653374,11479381,3395697,944049,1610976,42892,3,219,6,101,1068,3,60,551,0,0,0,0,2,601,11749,6520,5229,467,317,150,8299,2980,5319,1159,3050,7130,0,2,23241,4304,144,63,2,2,11,8,17,11,21,1
R04581,ã{èÈåß,èóêÏí¨,6430,3351,3079,6218,3300,2918,521,263,258,3554,2049,1505,2333,1017,1316,1306,501,805,212,25,99,147,202,3166,3135,6192,1342,1512,780,407,476,15,5,6535,1091,353,0,7,1,46,59,2,2,15,81,3,11,11,55,19,5,13,2,21,3876,0,82,13,632,786,557,49,158,497,23,36,182,240,42,10,230,13,326,1,6,129,85.1,5.5,14155618,3198306,13107283,1104990,2203824,1000631,916131,0,0,1,15,210,1,19,108,0,0,0,0,0,0,3330,2081,1249,131,90,41,2336,845,1491,417,1099,1808,0,0,5928,203,63,32,1,0,3,1,4,1,4,2
R04606,ã{èÈåß,ìÏéOó§í¨,12225,5980,6245,12061,5959,6102,1124,573,551,6387,3299,3088,4707,2102,2605,2545,943,1602,164,50,188,168,257,4282,4273,11887,1956,1092,1258,464,513,26,16,16340,3845,538,9,21,0,76,74,0,0,18,141,6,8,8,51,41,6,29,10,40,4324,73,127,0,669,1155,0,0,198,818,38,18,38,423,68,13,450,76,160,235,309,147,98.6,10.5,15087425,1402968,13995534,1911512,2348398,1038195,1947227,1,22,5,72,439,2,37,224,0,0,0,0,1,149,6164,3562,2602,269,175,94,4445,1540,2905,1321,1852,2910,4,1,11665,2631,108,29,1,1,5,1,11,3,9,3
R05201,èHìcåß,èHìcés,307672,145411,162261,302311,142356,159955,32809,16793,16016,172755,84882,87873,95949,40000,55949,48525,17949,30576,1187,1451,4391,7086,7740,136952,136634,297464,75691,49576,33479,17576,17709,966,433,90607,29194,13961,72,1,6,1350,510,43,160,340,3624,299,783,740,1555,1496,503,1246,79,1154,140892,673,1,70,10629,10551,726,2655,9282,32696,4878,3126,4290,11066,6397,5793,23458,1240,13361,1941,584,1546,91.5,8.6,152422038,43281791,149822795,55466099,17222434,15087219,171785,15,890,42,836,12982,23,540,7078,0,0,0,0,14,7680,142787,76362,66425,5984,3689,2295,102538,36209,66329,2634,22106,113683,1,8,298168,7669,2427,1273,66,14,290,148,1272,230,907,54
R05202,èHìcåß,î\ë„és,49968,22932,27036,49759,22893,26866,4231,2179,2052,24953,12534,12419,20765,8209,12556,11466,3894,7572,208,145,1048,951,1134,21191,21076,47882,11333,6854,6417,3254,3934,114,71,42695,17783,2790,43,0,2,219,217,14,13,51,698,52,93,109,362,319,76,297,23,202,22618,429,0,13,2089,3026,228,92,1318,4583,439,274,497,1536,902,541,4693,437,1521,1149,354,340,91.9,8.1,33822510,7341443,32344314,10913861,3254683,3242175,40856,2,159,7,132,1532,6,110,936,0,0,0,0,3,1429,22906,12252,10654,1259,855,404,20269,6995,13274,1928,4984,15814,18,2,48559,14933,558,305,10,4,49,21,146,32,128,11
R05203,èHìcåß,â°éËés,85555,40326,45229,85023,40160,44863,8532,4360,4172,43422,21841,21581,33401,14002,19399,17883,6592,11291,373,279,1673,1293,1676,31109,31013,82864,15852,7551,9092,4254,4025,165,90,69280,31742,4189,112,0,1,461,342,3,24,90,1133,62,108,140,438,522,57,345,49,302,36573,1227,0,3,3108,7846,74,125,1725,8100,653,402,619,2406,1567,342,5715,570,2091,4517,1214,612,93.9,7.6,59150500,8557769,55976753,16714710,7958204,4254736,32103,4,177,14,250,3180,7,171,1911,0,0,0,0,6,2174,44009,23868,20141,1694,1163,531,30339,10390,19949,6489,11058,26164,36,6,81616,20384,892,360,13,3,72,43,197,50,177,25
R05204,èHìcåß,ëÂäŸés,69237,32551,36686,68649,32328,36321,6479,3356,3123,35272,17892,17380,26998,11008,15990,14851,5239,9612,295,235,1366,1206,1506,28044,27959,66951,14597,8669,8179,3864,4504,182,87,91322,19039,3127,62,0,2,313,217,12,21,59,827,65,164,90,338,339,74,262,32,250,29449,635,0,6,2806,6947,135,184,1179,5967,553,429,362,1682,1172,538,4020,311,2523,1243,712,467,94.2,8.8,44600264,8073038,42547884,13137911,4359113,3409264,421252,1,19,17,243,2384,9,168,1449,0,0,0,0,3,1637,32905,17663,15242,1429,1004,425,26066,9231,16835,2025,9371,21046,31,4,67125,17116,592,268,11,4,47,23,137,41,159,9
R05206,èHìcåß,íjé≠és,25154,11860,13294,25082,11825,13257,1723,886,837,11474,5879,5595,11809,5009,6800,6282,2316,3966,44,54,615,380,489,10492,10447,23863,5928,3099,3920,2042,2071,47,24,24109,11633,1130,9,5,4,145,57,13,1,28,290,10,18,18,136,151,21,106,18,100,8112,138,58,35,1181,769,32,1,341,1859,89,90,57,670,406,94,1666,65,561,668,206,213,92.9,9.3,18096760,3193379,17631335,5726340,1288990,1346062,22565,1,40,6,79,641,2,40,383,0,0,0,0,2,346,11031,6142,4889,590,427,163,10714,3820,6894,1299,2409,7074,10,1,24189,8482,245,96,4,1,25,11,32,14,28,7
R05207,èHìcåß,ìíëÚés,42091,20115,21976,41952,20083,21869,3613,1874,1739,21485,11039,10446,16926,7165,9761,9195,3464,5731,114,118,813,560,846,15685,15620,40664,7947,3944,4875,2168,2211,71,47,79091,15875,2268,54,2,5,239,308,5,9,33,549,22,96,66,223,262,33,164,33,165,17564,514,11,146,1749,4541,30,27,639,3198,221,234,364,1078,615,247,2895,445,610,1947,962,342,95.9,12.2,30496181,4179014,29596316,8763721,2787967,2748021,0,2,83,6,114,1341,6,111,794,0,0,0,0,3,977,21241,11798,9443,963,655,308,15426,5353,10073,2532,6516,11957,4,2,40752,9280,458,177,5,1,34,20,60,35,53,3
R05209,èHìcåß,é≠äpés,29088,13684,15404,28942,13626,15316,2877,1432,1445,14259,7424,6835,11843,4756,7087,6521,2178,4343,89,90,627,454,642,10978,10932,27921,5333,3140,3285,1474,1868,44,39,70752,14852,1378,39,0,1,148,106,9,7,26,335,22,65,29,159,165,21,108,21,117,11756,502,0,15,1423,1724,92,17,463,2011,221,159,91,874,484,70,2461,385,764,1136,513,210,89.9,8.2,20656167,3243958,19816167,6090994,2390094,1708996,316141,1,28,6,95,1020,4,76,646,0,0,0,0,1,495,14371,7812,6559,597,393,204,10630,3702,6928,1776,3840,8718,0,2,27853,9199,281,113,3,3,16,11,37,18,51,8
R05210,èHìcåß,óRóòñ{ëëés,74707,35842,38865,74032,35551,38481,7467,3834,3633,38918,20169,18749,27783,11553,16230,14516,5114,9402,256,319,1307,1173,1422,28362,28251,71698,14069,8404,7736,3496,3691,192,59,120959,29738,3420,79,0,3,394,265,8,13,42,845,59,99,104,426,418,74,293,44,254,31477,832,0,58,2904,8021,75,31,573,5513,476,367,499,2124,1261,518,6202,609,1414,2960,727,554,91.5,11.4,54367057,8419282,52937413,14051975,8190430,6186104,426834,1,30,13,220,2767,10,180,1657,0,0,0,0,5,1835,37510,20564,16946,1324,881,443,26340,9502,16838,3788,11786,21546,25,3,71948,4341,700,346,10,5,58,28,188,38,151,19
R05211,èHìcåß,äÉè„és,31720,14967,16753,31549,14874,16675,3272,1709,1563,17095,8496,8599,11218,4672,6546,5637,2053,3584,85,177,538,713,704,12287,12250,30551,7299,3107,3576,1756,1664,78,53,9772,6681,999,21,1,1,168,62,3,1,18,242,11,23,16,93,130,35,101,11,62,8170,138,1,3,992,1632,8,10,192,1906,119,87,56,450,267,180,1541,54,534,545,191,234,95.4,6.7,17210701,2909469,16197161,6010349,1342918,1334895,8841,1,108,6,105,1383,3,68,666,0,0,0,0,1,491,14622,7873,6749,727,499,228,11402,3987,7415,826,3707,9868,65,4,31659,2842,199,53,5,2,19,9,39,14,38,1
R05212,èHìcåß,ëÂêÂés,77657,36287,41370,77124,36099,41025,7611,3881,3730,39751,19961,19790,29871,12264,17607,16022,5613,10409,226,307,1542,1274,1527,28370,28275,75105,14286,7142,7934,3600,3924,189,96,86679,36855,3910,118,3,9,459,300,7,12,68,1002,55,111,129,395,506,70,319,81,266,32327,1319,18,112,3912,5251,157,66,1013,6847,482,417,791,1897,1438,563,5571,745,1728,3779,1213,625,90.0,11.0,50315400,8181132,48032707,15395125,4663303,5451600,97926,0,0,20,287,2934,10,192,1611,0,0,0,0,6,1535,39321,21217,18104,1669,1063,606,26900,9073,17827,4803,10188,24078,31,8,75502,23147,852,328,16,5,71,33,175,52,170,16
R05213,èHìcåß,ñkèHìcés,30198,14157,16041,30022,14118,15904,2437,1235,1202,14260,7419,6841,13438,5459,7979,7547,2644,4903,142,80,749,435,580,11799,11727,28273,5914,3520,3831,1887,2208,44,24,115276,19504,1492,47,0,5,149,141,2,6,36,359,18,48,42,149,205,19,142,23,101,11404,547,0,15,1154,2195,9,30,340,2066,145,129,120,505,517,109,2824,215,484,882,551,262,94.5,8.3,25339642,2989575,23716868,6247403,2619064,1791587,517403,0,0,6,93,847,3,59,529,1,21,33,24,1,514,14124,7693,6431,638,453,185,12605,4553,8052,1494,3796,8773,11,2,28741,4631,311,112,3,1,28,10,39,15,51,8
R05214,èHìcåß,Ç…Ç©ÇŸés,23435,11218,12217,23347,11167,12180,2244,1113,1131,12041,6278,5763,9140,3818,5322,4803,1722,3081,83,73,428,445,468,8635,8613,22652,4648,2120,2712,1213,1144,48,17,24113,8433,1024,19,3,1,106,146,4,3,13,247,10,19,28,134,120,22,67,13,69,9894,343,15,68,741,3756,8,100,383,1488,84,41,90,832,272,140,1124,78,331,559,170,172,92.2,8.8,17838911,2846292,17180260,4198530,1602254,1654966,107482,1,0,4,68,824,3,51,483,0,0,0,0,1,118,11543,6474,5069,443,288,155,8780,3124,5656,1017,4647,5738,3,1,22614,558,211,102,3,0,17,8,20,9,31,4
R05215,èHìcåß,êÂñkés,24610,11408,13202,24483,11376,13107,2135,1054,1081,11845,5960,5885,10533,4343,6190,5646,2009,3637,89,75,504,315,495,9252,9220,23815,4385,2545,2847,1319,1506,41,31,109356,15289,1412,35,1,6,145,97,2,4,20,321,11,45,39,249,190,21,104,22,100,9664,421,3,51,1188,1435,5,16,215,1814,119,96,153,1387,554,233,1395,200,379,1127,388,287,98.4,8.6,22614873,2730172,22063488,4791152,1802378,1490021,2139,0,0,6,81,767,5,77,491,0,0,0,0,1,533,12485,6678,5807,505,361,144,9215,3171,6044,1607,3222,7565,10,1,23610,8367,298,153,2,2,21,12,38,15,42,3
R05303,èHìcåß,è¨ç‚í¨,4780,2232,2548,4747,2224,2523,354,184,170,2281,1188,1093,2145,860,1285,1227,408,819,33,14,127,98,120,2043,2029,4518,1008,703,631,323,419,7,4,20170,1933,250,12,1,0,32,18,0,1,9,47,3,11,8,30,27,9,20,2,20,2686,210,1,0,353,868,0,1,118,190,16,15,116,167,53,21,380,8,169,87,61,60,85.5,14.4,5265117,1173854,5024404,935360,602194,373678,35624,0,0,1,15,131,1,13,83,0,0,0,0,0,0,2206,1197,1009,72,45,27,2131,798,1333,167,696,1338,6,1,4509,263,42,18,0,0,4,2,1,2,4,1
R05327,èHìcåß,è„è¨à¢êmë∫,2063,986,1077,2042,983,1059,117,60,57,839,458,381,1107,468,639,677,249,428,21,3,76,45,52,830,825,1867,425,261,329,165,201,1,2,25672,1915,105,7,0,0,19,7,1,0,0,19,1,0,1,7,9,0,7,2,25,571,48,0,0,74,68,1,0,0,60,6,0,1,26,11,0,223,5,48,79,38,39,92.0,7.1,2776894,168058,2630979,574027,258051,223325,39617,0,0,1,12,44,1,9,21,0,0,0,0,0,0,876,502,374,41,28,13,1007,385,622,117,218,535,3,1,1812,165,19,5,0,0,3,0,1,1,0,1
R05346,èHìcåß,ì°ó¢í¨,2896,1380,1516,2870,1377,1493,200,103,97,1283,674,609,1413,603,810,780,289,491,26,8,67,33,50,1126,1117,2763,545,308,401,193,218,3,2,28213,3829,135,10,1,0,20,13,0,0,0,27,1,1,3,17,17,4,7,2,12,650,71,10,0,65,81,0,0,0,104,9,0,18,60,23,13,151,14,31,115,121,56,87.2,6.1,4500846,226733,4340424,646279,351413,1185036,0,1,25,0,0,0,0,0,0,1,29,80,49,0,0,1375,770,605,38,29,9,1281,478,803,182,346,843,1,0,2841,495,25,11,0,0,3,1,0,0,0,1
R05348,èHìcåß,éOéÌí¨,15254,7034,8220,15208,7024,8184,1167,565,602,7151,3636,3515,6935,2832,4103,3815,1302,2513,46,30,368,201,296,5740,5707,14433,2993,1441,1985,947,1026,14,16,24798,11353,594,21,0,0,97,52,4,2,13,149,6,14,8,39,68,7,54,16,44,4315,209,0,0,877,615,13,2,118,793,37,23,12,178,122,13,1056,107,140,1041,336,151,88.5,6.6,10948748,1468491,10451378,3320121,948488,817574,144388,1,0,5,61,418,3,43,262,0,0,0,0,0,0,7605,4093,3512,335,238,97,5883,2002,3881,1520,1783,4216,7,0,14689,3580,131,26,0,1,10,4,11,3,7,4
R05349,èHìcåß,î™ïÙí¨,6577,3071,3506,6529,3069,3460,442,221,221,3098,1604,1494,3036,1245,1791,1659,569,1090,48,5,148,56,118,2615,2605,6353,1340,725,938,446,479,7,5,23414,4330,299,16,7,0,50,26,1,0,5,72,3,7,6,26,28,1,25,6,20,1857,132,41,0,277,441,1,0,36,298,11,25,13,96,79,1,325,30,51,376,126,79,94.7,8.4,7025299,616712,6664717,1386511,897252,496493,45044,0,0,2,29,141,1,15,94,0,0,0,0,0,0,3270,1773,1497,128,92,36,2667,946,1721,643,788,1777,1,0,6352,1742,54,16,0,0,5,2,1,2,6,0
R05361,èHìcåß,å‹èÈñ⁄í¨,8538,3985,4553,8520,3984,4536,596,296,300,3896,1992,1904,4038,1691,2347,2261,814,1447,18,14,182,119,195,3351,3336,8182,1743,924,1186,621,618,8,11,21492,3978,405,13,0,0,35,36,1,2,7,111,4,2,13,37,53,16,34,14,27,2736,120,0,0,176,627,1,9,108,663,35,25,37,181,105,71,427,75,76,346,85,72,93.1,9.5,6634856,757239,6403274,1694765,511280,587557,349074,0,0,1,24,233,1,16,133,0,0,0,0,1,87,3992,2182,1810,257,202,55,3575,1234,2341,461,996,2526,8,0,8126,1956,100,29,1,0,6,2,5,4,9,0
R05363,èHìcåß,î™òYäÉí¨,5583,2534,3049,5557,2525,3032,423,205,218,2678,1329,1349,2477,998,1479,1331,447,884,26,9,116,109,112,2144,2134,5308,1192,546,753,360,376,2,4,1700,1395,224,6,1,0,21,15,0,1,2,66,3,1,3,29,28,8,23,3,14,1582,37,2,0,93,300,0,4,28,303,42,6,5,103,38,70,474,21,56,225,41,44,83.4,11.5,4095594,460207,3885286,935816,413300,458153,0,0,0,1,14,154,1,12,97,0,0,0,0,0,0,2677,1439,1238,136,99,37,2306,771,1535,282,577,1802,1,1,5300,244,60,24,0,1,3,1,14,2,15,0
